Reviewer,TotalReviewsByUser,ReviewRating,ReviewDate,State,Country,ReviewDescription
"Ashwani Raj
13 reviews·1 photo
a year ago
A great place to work and enjoy together. Perfect work life balance. New technologies to work with.",13 reviews·1 photo,5,June 2020,Karnataka,India,A great place to work and enjoy together. Perfect work life balance. New technologies to work with.
"Rajat kumar Sahani
1 review·2 photos
4 months ago
I am working in Koch business services Pvt Ltd",1 review·2 photos,5,February 2021,Karnataka,India,I am working in Koch business services Pvt Ltd
"Pavan Tippshetty
Local Guide·75 reviews·64 photos
a year ago
Awesome organization this is combined with molex... US 🇺🇸 based organization and good pay",Local Guide·75 reviews·64 photos,5,June 2020,Karnataka,India,Awesome organization this is combined with molex... US 🇺🇸 based organization and good pay
"S Jain
1 review
a year ago
Attended the interview process in may. They didnot give proper feedback till August and have placed the profile on hold for a long time. After all the rounds were completed including salary discussion, they again conducted another technical …More",1 review,1,June 2020,Karnataka,India,"Attended the interview process in may. They didnot give proper feedback till August and have placed the profile on hold for a long time. After all the rounds were completed including salary discussion, they again conducted another technical round. Employees working here cribbing about the managment at reception. Please don't attend interviews here."
"Chasing Dream
2 reviews
a year ago
Really well maintained organization. Loved the place and people.",2 reviews,5,June 2020,Karnataka,India,Really well maintained organization. Loved the place and people.
"joy D'zilva
Local Guide·11 reviews·40 photos
7 months ago
Great place to work.",Local Guide·11 reviews·40 photos,5,November 2020,Karnataka,India,Great place to work.
"Tamil Selvam
1 review
6 months ago
Great place to work",1 review,5,December 2020,Karnataka,India,Great place to work
"Vijay Sarathy
Local Guide·55 reviews·170 photos
2 years ago
Architecture, work environment, sitting arrangements, parking and much more are at US standards. Best place to work for fresher, 10+ and 20+ years of experienced professionals.",Local Guide·55 reviews·170 photos,5,June 2019,Karnataka,India,"Architecture, work environment, sitting arrangements, parking and much more are at US standards. Best place to work for fresher, 10+ and 20+ years of experienced professionals."
"Aby Abraham
Local Guide·53 reviews·14 photos
10 months ago
An awesome experience..",Local Guide·53 reviews·14 photos,4,August 2020,Karnataka,India,An awesome experience..
"Arghya Das
5 reviews·15 photos
8 months ago
Awesome place to work!!!",5 reviews·15 photos,5,October 2020,Karnataka,India,Awesome place to work!!!
"keerthi royal
4 reviews
a year ago
Good place to work.",4 reviews,5,June 2020,Karnataka,India,Good place to work.
"SAHEB SAHA
9 reviews
a year ago
Well managed office inside and outside...",9 reviews,4,June 2020,Karnataka,India,Well managed office inside and outside...
"Manjunath Narayanaswamy
Local Guide·76 reviews·140 photos
9 months ago
Nice workplace",Local Guide·76 reviews·140 photos,5,September 2020,Karnataka,India,Nice workplace
"Asish Sutar
3 reviews
10 months ago
Very nice",3 reviews,5,August 2020,Karnataka,India,Very nice
"Siva Sankar
3 reviews
a year ago
It's a great place to work",3 reviews,5,June 2020,Karnataka,India,It's a great place to work
"Arghodip Roy
11 reviews·1 photo
2 years ago
Good experience with great company.",11 reviews·1 photo,5,June 2019,Karnataka,India,Good experience with great company.
"mohamed sulaiman
Local Guide·70 reviews
a year ago
Did not have a pleasant experience.",Local Guide·70 reviews,1,June 2020,Karnataka,India,Did not have a pleasant experience.
"Malathi Vijaykumar
4 reviews
a year ago
My work place...",4 reviews,5,June 2020,Karnataka,India,My work place...
"Dibakar Deb
Local Guide·298 reviews·2,191 photos
2 years ago
Great infrastructure","Local Guide·298 reviews·2,191 photos",5,June 2019,Karnataka,India,Great infrastructure
"althaf basha
Local Guide·38 reviews·9 photos
a year ago
Nice interiors",Local Guide·38 reviews·9 photos,4,June 2020,Karnataka,India,Nice interiors
"Mohammed sadiq
Local Guide·168 reviews·47 photos
2 years ago
Good place to work",Local Guide·168 reviews·47 photos,5,June 2019,Karnataka,India,Good place to work
"abhinavmahul
Local Guide·86 reviews·20 photos
2 years ago
Bad location",Local Guide·86 reviews·20 photos,1,June 2019,Karnataka,India,Bad location
"shiva shankar
Local Guide·31 reviews·26 photos
2 years ago
very nice",Local Guide·31 reviews·26 photos,5,June 2019,Karnataka,India,very nice
"Tausif Chand
Local Guide·65 reviews·140 photos
2 years ago
Good place to work.",Local Guide·65 reviews·140 photos,5,June 2019,Karnataka,India,Good place to work.
"Gopi Gopal
Local Guide·84 reviews·7 photos
a year ago
Company",Local Guide·84 reviews·7 photos,4,June 2020,Karnataka,India,Company
"Subramanian P S
Local Guide·79 reviews·159 photos
9 months ago",Local Guide·79 reviews·159 photos,4,September 2020,Karnataka,India,
"Trilochan Jena
Local Guide·12 reviews·16 photos
10 months ago",Local Guide·12 reviews·16 photos,4,August 2020,Karnataka,India,
"Moto Y
12 reviews·13 photos
3 months ago",12 reviews·13 photos,5,March 2021,Karnataka,India,
"Rakesh chouhan
Local Guide·6 reviews
5 months ago",Local Guide·6 reviews,5,January 2021,Karnataka,India,
"Pradeep R
2 reviews
6 months ago",2 reviews,5,December 2020,Karnataka,India,
"Brahmananda Bera
3 reviews·2 photos
4 months ago",3 reviews·2 photos,5,February 2021,Karnataka,India,
"subhashree panda
3 months ago",,4,March 2021,Karnataka,India,
"Harsha P S
3 reviews·7 photos
a year ago",3 reviews·7 photos,5,June 2020,Karnataka,India,
"Mohammed Younus
1 review
4 months ago",1 review,5,February 2021,Karnataka,India,
"Madhu G
1 review
a year ago",1 review,1,June 2020,Karnataka,India,
"Thirsheel Balaji R
Local Guide·11 reviews·53 photos
2 months ago",Local Guide·11 reviews·53 photos,4,April 2021,Karnataka,India,
"Shibil Aziz
1 review·5 photos
4 months ago",1 review·5 photos,5,February 2021,Karnataka,India,
"Arun S
12 reviews
2 years ago",12 reviews,5,June 2019,Karnataka,India,
"Manjunath K
1 photo
10 months ago",1 photo,5,August 2020,Karnataka,India,
"Spoorthi Suresh
Local Guide·18 reviews·1 photo
5 months ago",Local Guide·18 reviews·1 photo,5,January 2021,Karnataka,India,
"Akansh Mahendra
Local Guide·12 reviews·1 photo
6 months ago",Local Guide·12 reviews·1 photo,5,December 2020,Karnataka,India,
"sreesha h
1 review
8 months ago",1 review,5,October 2020,Karnataka,India,
"sharath reddy
1 photo
7 months ago",1 photo,5,November 2020,Karnataka,India,
"Harish Kumar
3 reviews
9 months ago",3 reviews,5,September 2020,Karnataka,India,
"Sanal Suresh
7 reviews·1 photo
4 months ago",7 reviews·1 photo,1,February 2021,Karnataka,India,
"Rakshith Kumar
2 months ago",,5,April 2021,Karnataka,India,
"Uday Singh
3 reviews·5 photos
2 years ago",3 reviews·5 photos,5,June 2019,Karnataka,India,
"Ashok Sevda
1 review
5 months ago",1 review,4,January 2021,Karnataka,India,
"Rupesh Kumar Singh
Local Guide·6 reviews
a year ago",Local Guide·6 reviews,1,June 2020,Karnataka,India,
"Santhan R
Local Guide·34 reviews·11 photos
7 months ago",Local Guide·34 reviews·11 photos,4,November 2020,Karnataka,India,
"Basavaraj Patil
1 review
3 months ago",1 review,5,March 2021,Karnataka,India,
"Deepak R
Local Guide·24 reviews·163 photos
2 years ago",Local Guide·24 reviews·163 photos,5,June 2019,Karnataka,India,
"salesh ks
Local Guide·32 reviews
a year ago",Local Guide·32 reviews,4,June 2020,Karnataka,India,
"Santosh B
Local Guide·16 reviews·5 photos
4 months ago",Local Guide·16 reviews·5 photos,5,February 2021,Karnataka,India,
"Asit Ranjan Padhihary
15 reviews·3 photos
8 months ago",15 reviews·3 photos,5,October 2020,Karnataka,India,
"Reddy Jayachandra
1 review·22 photos
6 months ago",1 review·22 photos,5,December 2020,Karnataka,India,
"WARM HEAD
Local Guide·18 reviews·4 photos
a year ago",Local Guide·18 reviews·4 photos,5,June 2020,Karnataka,India,
"Vaishali. R. Uchil
6 reviews
9 months ago",6 reviews,5,September 2020,Karnataka,India,
"Mithlesh Kumar
Local Guide·15 reviews·75 photos
3 months ago",Local Guide·15 reviews·75 photos,5,March 2021,Karnataka,India,
"Amil Laskar
1 review
5 months ago",1 review,5,January 2021,Karnataka,India,
"Tapaskumar Paikray
7 photos
4 months ago",7 photos,4,February 2021,Karnataka,India,
"Nagaraj Raj
1 review
4 months ago",1 review,5,February 2021,Karnataka,India,
"Shaun D'Almeida
Local Guide·9 reviews·10 photos
3 months ago",Local Guide·9 reviews·10 photos,5,March 2021,Karnataka,India,
"shibin ashraf
Local Guide·14 reviews·33 photos
3 months ago",Local Guide·14 reviews·33 photos,5,March 2021,Karnataka,India,
"Sai Bharath
Local Guide·78 reviews·23 photos
a year ago",Local Guide·78 reviews·23 photos,5,June 2020,Karnataka,India,
"Rajesh NK
3 months ago",,5,March 2021,Karnataka,India,
"Prashantt Sinha
Local Guide·20 reviews·325 photos
2 years ago",Local Guide·20 reviews·325 photos,5,June 2019,Karnataka,India,
"praveen dinesan
Local Guide·53 reviews·284 photos
10 months ago",Local Guide·53 reviews·284 photos,4,August 2020,Karnataka,India,
"Akshay Reddy
Local Guide·1 review
a year ago",Local Guide·1 review,1,June 2020,Karnataka,India,
"DINESH RAM PILOT
4 months ago",,4,February 2021,Karnataka,India,
"Ghouse shaik
Local Guide·2 reviews·1 photo
5 months ago",Local Guide·2 reviews·1 photo,4,January 2021,Karnataka,India,
"Nisar Alam
10 months ago",,5,August 2020,Karnataka,India,
"Mallesh Kyatanavar
9 months ago",,5,September 2020,Karnataka,India,
"Mallesh Mallesh
1 review
9 months ago",1 review,5,September 2020,Karnataka,India,
"pavani suryasri
a year ago",,4,June 2020,Karnataka,India,
"ajay ghosh P
1 review
5 months ago",1 review,5,January 2021,Karnataka,India,
"Rakshith kumar
9 months ago",,1,September 2020,Karnataka,India,
"SANDIP MISHRA
1 review
a year ago",1 review,4,June 2020,Karnataka,India,
"Raghavendra Manasali.
Local Guide·13 reviews·4 photos
10 months ago",Local Guide·13 reviews·4 photos,5,August 2020,Karnataka,India,
"KrishnaThrimurthulu karuturi
Local Guide·2 reviews·69 photos
2 years ago",Local Guide·2 reviews·69 photos,4,June 2019,Karnataka,India,
"Charan Raj
Local Guide·38 reviews·771 photos
a year ago",Local Guide·38 reviews·771 photos,4,June 2020,Karnataka,India,
"Vijayan K
1 review
6 months ago",1 review,5,December 2020,Karnataka,India,
"vinod livingston
2 reviews
4 months ago",2 reviews,5,February 2021,Karnataka,India,
"Hemant Tewatia
Local Guide·27 reviews·369 photos
a year ago",Local Guide·27 reviews·369 photos,5,June 2020,Karnataka,India,
"Syed moosa leeman
2 reviews·2 photos
6 months ago",2 reviews·2 photos,5,December 2020,Karnataka,India,
"Akshay Rajeev
8 reviews·12 photos
5 months ago",8 reviews·12 photos,5,January 2021,Karnataka,India,
"Kamal Paramanik
1 review
8 months ago",1 review,5,October 2020,Karnataka,India,
"Sharmila R
4 months ago",,5,February 2021,Karnataka,India,
"Zeenath Banu
1 review
5 months ago",1 review,5,January 2021,Karnataka,India,
"Arpitha Gowda
a year ago",,5,June 2020,Karnataka,India,
"Pankaj Kumar
Local Guide·5 reviews·36 photos
2 years ago",Local Guide·5 reviews·36 photos,5,June 2019,Karnataka,India,
"Varsha Raina
13 reviews·8 photos
a year ago",13 reviews·8 photos,5,June 2020,Karnataka,India,
"Sanjana Tailor
Local Guide·114 reviews·476 photos
a year ago",Local Guide·114 reviews·476 photos,5,June 2020,Karnataka,India,
"Rishanth Dsilva
Local Guide·64 reviews·330 photos
a year ago",Local Guide·64 reviews·330 photos,5,June 2020,Karnataka,India,
"Manohar Kanyady
Local Guide·7 reviews·14 photos
a year ago",Local Guide·7 reviews·14 photos,5,June 2020,Karnataka,India,
"DEV MAHARAJ
Local Guide·49 reviews·536 photos
a year ago",Local Guide·49 reviews·536 photos,5,June 2020,Karnataka,India,
"Somyasree Das
a year ago",,5,June 2020,Karnataka,India,
"Thowfiq Raja
Local Guide·10 reviews·41 photos
a year ago",Local Guide·10 reviews·41 photos,5,June 2020,Karnataka,India,
"Praveen V
Local Guide·2 reviews·59 photos
a year ago",Local Guide·2 reviews·59 photos,4,June 2020,Karnataka,India,
"Dinesh Kumar
Local Guide·8 reviews·1 photo
a year ago",Local Guide·8 reviews·1 photo,4,June 2020,Karnataka,India,
"prabhakar k
Local Guide·2 reviews
2 years ago",Local Guide·2 reviews,5,June 2019,Karnataka,India,
"Krishna Mishra
2 reviews·5 photos
2 years ago",2 reviews·5 photos,5,June 2019,Karnataka,India,
"abinash burnwal
5 reviews
a year ago",5 reviews,4,June 2020,Karnataka,India,
"Shebin Jacob
Local Guide·9 reviews·65 photos
a year ago",Local Guide·9 reviews·65 photos,4,June 2020,Karnataka,India,
"Hassan Shaik
3 reviews·6 photos
a year ago",3 reviews·6 photos,5,June 2020,Karnataka,India,
"Mohan Kumar
14 reviews·1 photo
a year ago",14 reviews·1 photo,3,June 2020,Karnataka,India,
"indu kumar
3 reviews·2 photos
a year ago",3 reviews·2 photos,5,June 2020,Karnataka,India,
"Shivashankar S
1 review·5 photos
a year ago",1 review·5 photos,5,June 2020,Karnataka,India,
"Arghya Biswas
Local Guide·20 reviews
a year ago",Local Guide·20 reviews,4,June 2020,Karnataka,India,
"Gaurav Jain
Local Guide·7 reviews·3 photos
a year ago",Local Guide·7 reviews·3 photos,5,June 2020,Karnataka,India,
"Abdul Hameed K
a year ago",,5,June 2020,Karnataka,India,
"Bijay Kumar Sharma
Local Guide·15 reviews·91 photos
a year ago",Local Guide·15 reviews·91 photos,5,June 2020,Karnataka,India,
"krishna mishra
a year ago",,5,June 2020,Karnataka,India,
"Mahananda Yalgar
6 reviews
a year ago",6 reviews,5,June 2020,Karnataka,India,
"Ankit Keshari
2 years ago",,5,June 2019,Karnataka,India,
"Alok Solanki
a year ago",,5,June 2020,Karnataka,India,
"Bhanu priya V
2 years ago",,3,June 2019,Karnataka,India,
"Yuvaraja
Local Guide·7 reviews·71 photos
a year ago",Local Guide·7 reviews·71 photos,3,June 2020,Karnataka,India,
"విశ్వ శంకర్
Local Guide·46 reviews·52 photos
a year ago",Local Guide·46 reviews·52 photos,1,June 2020,Karnataka,India,
"Sameet & Sameeta
19 photos
2 years ago",19 photos,5,June 2019,Karnataka,India,
"Amit Khatri
Local Guide·7 reviews
2 years ago",Local Guide·7 reviews,5,June 2019,Karnataka,India,
"Shanoob
Local Guide·20 reviews·63 photos
2 years ago",Local Guide·20 reviews·63 photos,5,June 2019,Karnataka,India,
"Vinay K M
34 reviews·8 photos
a year ago",34 reviews·8 photos,5,June 2020,Karnataka,India,
"bibin jose
Local Guide·52 reviews·14 photos
a year ago",Local Guide·52 reviews·14 photos,5,June 2020,Karnataka,India,
"Manoj Madassery
Local Guide·35 reviews
a year ago",Local Guide·35 reviews,5,June 2020,Karnataka,India,
